family,species,status
ASTERACEAE,Gochnatia rotundifolia Less.,EX
CONVOLVULACEAE,Operculina macrocarpa (L.) Urb.,EW
LOGANIACEAE,Strychnos gardneri A.DC.,EX
MYRTACEAE,Eugenia nutans O.Berg,VU
ASTERACEAE,Gyptis vernoniopsis (Schultz-Bip. ex Baker) R.M.King & H.Rob.,EN
COSTACEAE,Chamaecostus subsessilis (Nees & Mart.) C.Specht & D.W.Stev.,EX
LOGANIACEAE,Strychnos nigricans Prog.,EX
MYRTACEAE,Eugenia peruibensis Mattos,EN
ASTERACEAE,Hatschbachiella tweediana (Hook. & Arn.) R.M.King & H.Rob.,EN
CUCURBITACEAE,Cayaponia bonariensis (Mill.) Mart.Crov.,EX
LOGANIACEAE,Strychnos trinervis (Vell.) Mart.,VU
MYRTACEAE,Eugenia pisiformis Cambess.,VU
ASTERACEAE,Heterocondylus amphidyctius (DC.) R.M.King & H.Rob.,VU
CUCURBITACEAE,Cayaponia pedata Cogn.,EX
LYTHRACEAE,Cuphea arenarioides A. St.-Hil.,EN
MYRTACEAE,Eugenia plicata Nied.,VU
ASTERACEAE,Heterocondylus lysimachioides (Chodat) R.M.King & H.Rob.,EX
CUCURBITACEAE,Cayaponia trilobata (Cogn.) Cogn.,VU
LYTHRACEAE,Cuphea lutescens Pohl ex Koehne,VU
MYRTACEAE,Eugenia pruinosa D.Legrand,EN
ASTERACEAE,Idiothamnus pseudorgyalis R.M.King & H.Rob.,VU
CYMODOCEACEAE,Halodule wrightii Asch.,EN
LYTHRACEAE,Diplusodon ovatus Pohl,EN
MYRTACEAE,Eugenia sphenoides O.Berg,EX
ASTERACEAE,Lessingianthus asteriflorus (Mart. ex DC.),EN
CYPERACEAE,Scleria balansae Maury ex Micheli,VU
LYTHRACEAE,Diplusodon villosissimus Pohl,EN
MYRTACEAE,Eugenia stephanii O.Berg,EX
ASTERACEAE,Lessingianthus reitzianus (Cabrera) H.Rob.,EN
DIOSCOREACEAE,Dioscorea grandiflora Griseb.,VU
LYTHRACEAE,Lafoensia nummularifolia A.St.-Hil.,VU
MYRTACEAE,Eugenia subundulata Kiaersk.,EN
ASTERACEAE,Lessingianthus subcarduoides (H.Rob.) H.Rob.,EX
DIOSCOREACEAE,Dioscorea loefgrenii R.Knuth,VU
MALPIGHIACEAE,Aspicarpa sericea (A.St.-Hil.) Nied.,VU
MYRTACEAE,Eugenia zuccarinii O.Berg,VU
ASTERACEAE,Lessingianthus zuccarinianus (Mart. ex DC.) H.Rob.,VU
DIOSCOREACEAE,Dioscorea mantiqueirensis R.Knuth,EX
MALPIGHIACEAE,Banisteriopsis basifixa B. Gates,EX
MYRTACEAE,Marlierea regeliana O.Berg,VU
ASTERACEAE,Lulia nervosa (Less.) Zardini,EX
DIOSCOREACEAE,Dioscorea mollis Kunth,VU
MALPIGHIACEAE,Byrsonima brachybotrya Nied.,VU
MYRTACEAE,Marlierea skortzoviana Mattos,CR
ASTERACEAE,Mikania bradei B.L.Rob.,EX
DIOSCOREACEAE,Dioscorea plantaginifolia R.Knuth,VU
MALPIGHIACEAE,Byrsonima cydoniifolia A.Juss.,VU
MYRTACEAE,Myrceugenia alpigena (DC.) Landrum,VU
ASTERACEAE,Mikania stenomeres B.L.Rob.,EX
DIOSCOREACEAE,Dioscorea rumicoides Griseb.,VU
MALPIGHIACEAE,Byrsonima psilandra Griseb.,EN
MYRTACEAE,Myrceugenia bracteosa (DC.) D.Legrand & Kausel,EN
ASTERACEAE,Neocabreria malachophylla (Klatt) R.M.King & H.Rob,VU
ELAEOCARPACEAE,Sloanea obtusifolia (Moric.) Schum.,EN
MALPIGHIACEAE,Camarea hirsuta A.St.-Hil.,EN
MYRTACEAE,Myrceugenia brevipedicellata (Burret) D.Legrand & Kausel,EN
ASTERACEAE,Piptocarpha brasiliana Cass.,VU
ELAEOCARPACEAE,Sloanea petalata D.Sampaio e V.C.Souza,EN
MALPIGHIACEAE,Mascagnia divaricata (Kunth) Nied.,VU
MYRTACEAE,Myrceugenia euosma (O.Berg) D.Legrand,EX
ASTERACEAE,Praxelis grandiflora (DC.) R.M.King & H.Rob.,VU
EREMOLEPIDACEAE,Eubrachion ambiguum (Hook. & Arn.) Engl.,VU
MALPIGHIACEAE,Tetrapterys microphylla (A. Juss.) Nied.,VU
MYRTACEAE,Myrceugenia franciscensis (O.Berg) Landrum,EN
ASTERACEAE,Senecio langei Malme,EX
ERICACEAE,Agarista niederleinii (Sleumer) Judd,EN
MALPIGHIACEAE,Thryallis brachystachys Lindley,EX
MYRTACEAE,Myrceugenia gertii Landrum,EN
ASTERACEAE,Stevia alternifolia Hieron.,EX
ERICACEAE,Agarista nummularia G.Don,EX
MALVACEAE,Abutilon nigricans G.L.Esteves & Krapov.,CR
MYRTACEAE,Myrceugenia hoehnei (Burret) D.Legrand & Kausel,VU
ASTERACEAE,Stevia leptophylla Sch.Bip. ex Baker,EN
ERICACEAE,Agarista pulchra G.Don,EN
MALVACEAE,Byttneria oblongata Pohl,EX
MYRTACEAE,Myrceugenia kleinii D.Legrand & Kausel,VU
ASTERACEAE,Stevia pohliana Baker,EX
ERICACEAE,Gaultheria sleumeriana Kin.-Gouv.,EN
MALVACEAE,Byttneria scabra L.,VU
MYRTACEAE,Myrceugenia venosa D.Legrand,VU
ASTERACEAE,Stevia riedelii Schultz-Bip. ex Baker,EN
ERICACEAE,Gaylussacia montana (Pohl) Sleumer,EX
MALVACEAE,Eriotheca pubescens (Mart. & Zucc.) Schott & Endl.,VU
MYRTACEAE,Myrcia anomala Cambess.,EX
ASTERACEAE,Steyermarkina dispalata (Gardner) R.M.King & H.Rob.,EX
ERYTHROXYLACEAE,Erythroxylum catharinense Amaral,EN
MALVACEAE,Gaya guerkeana K. Schum.,EX
MYRTACEAE,Myrcia bicolor Kiaersk.,EN
ASTERACEAE,Stomatanthes dentatus (Gardner) H.Rob.,VU
ERYTHROXYLACEAE,Erythroxylum cyclophyllum O.E.Schulz,EX
MALVACEAE,Hibiscus diversifolius Jacq.,EX
MYRTACEAE,Myrcia cionei (Mattos) Mazine,VU
ASTERACEAE,Stomatanthes dictyophyllus (DC.) H.Rob.,EX
ERYTHROXYLACEAE,Erythroxylum myrsinites Mart.,EN
MALVACEAE,Hibiscus urticifolius A.St.-Hil.,EX
MYRTACEAE,Myrcia congestiflora Caliari & V.C.Souza,VU
ASTERACEAE,Stomatanthes loefgrenii (B.L. Rob.) H.Rob.,EN
ESCALLONIACEAE,Escallonia chlorophylla Cham. & Schltdl.,CR
MALVACEAE,Luehea conwentizii K. Schum.,VU
MYRTACEAE,Myrcia cordiifolia DC.,EX
ASTERACEAE,Trixis glaziovii Baker,EX
ESCALLONIACEAE,Escallonia obtusissima A.St.-Hil.,EX
MALVACEAE,Pachira calophylla (K.Schum.) Fern. Alonso,VU
MYRTACEAE,Myrcia diaphana (O.Berg) N.J.E.Silveira,VU
ASTERACEAE,Verbesina polyanthes Toledo,EX
EUPHORBIACEAE,Astraea cincta (Müll.Arg.) Caruzo & Cordeiro,EX
MALVACEAE,Pavonia distinguenda A.St.-Hil.,VU
MYRTACEAE,Myrcia eriocalyx DC.,VU
ASTERACEAE,Wedelia puberula DC.,EN
EUPHORBIACEAE,Chiropetalum gymnadenium (Müll.Arg.) Pax & K.Hoffm.,EX
MALVACEAE,Pavonia kleinii Krapov.,VU
MYRTACEAE,Myrcia eriopus DC.,VU
BEGONIACEAE,Begonia brevilobata Irmsch.,EX
EUPHORBIACEAE,Croton compressus Lam.,EN
MALVACEAE,Pseudobombax marginatum (St. Hil) A.Robyns,EN
MYRTACEAE,Myrcia flagellaris (D.Legrand) Sobral,VU
BEGONIACEAE,Begonia handroi Brade,EX
EUPHORBIACEAE,Croton glechomifolius Müll.Arg.,CR
MALVACEAE,Pseudobombax tomentosum (Mart. & Zucc.) A.Robyns,VU
MYRTACEAE,Myrcia guarujana Sobral, Magenta & Caliari,EN
BEGONIACEAE,Begonia larorum L.B.Sm. & Wassh.,EX
EUPHORBIACEAE,Croton leptobothryus Müll.Arg.,VU
MALVACEAE,Sida acrantha Link,EN
MYRTACEAE,Myrcia hexasticha Kiaersk.,EN
BEGONIACEAE,Begonia paulensis A.DC.,VU
EUPHORBIACEAE,Croton serratifolius Baill.,CR
MARANTACEAE,Goeppertia aemula (Körn.) Borchs. & S.Suárez,VU
MYRTACEAE,Myrcia isaiana G.M.Barroso & Peixoto,EN
BEGONIACEAE,Begonia piresiana Handro,VU
EUPHORBIACEAE,Croton sphaerogynus Baill.,VU
MARANTACEAE,Goeppertia zebrina (Sims) Nees,VU
MYRTACEAE,Myrcia montana Cambess.,VU
BEGONIACEAE,Begonia undulata Schott,EX
FABACEAE,Ancistrotropis firmula (Mart. ex Benth.) A.Delgado,VU
MELASTOMATACEAE,Behuria parvifolia Cogn.,VU
MYRTACEAE,Myrcia oligantha O.Berg,EN
BIGNONIACEAE,Adenocalymma ubatubense Assis & Semir,CR
FABACEAE,Apuleia leiocarpa (Vogel) J.F.Macbr.,VU
MELASTOMATACEAE,Bertolonia angustifolia Cogn.,EX
MYRTACEAE,Myrcia rupicola D.Legrand,EN
BIGNONIACEAE,Anemopaegma arvense (Vell.) Stellfeld ex de Souza,EN
FABACEAE,Bauhinia marginata (Bong.) Steud.,EX
MELASTOMATACEAE,Bertolonia leuzeana (Bonpl.) DC.,VU
MYRTACEAE,Myrcia stictophylla (O.Berg) N.J.E.Silveira,VU
BIGNONIACEAE,Tabebuia cassinoides (Lam.) DC.,EN
FABACEAE,Camptosema bellum (Mart. ex Benth.) Benth,VU
MELASTOMATACEAE,Bertolonia paranaensis (Wurdack) Baumgratz,EX
MYRTACEAE,Myrcia ubatubana Mazine & Sobral,VU
BIGNONIACEAE,Zeyheria tuberculosa (Vell.) Bareau ex Verl.,VU
FABACEAE,Camptosema isopetalum Taub.,EX
MELASTOMATACEAE,Cambessedesia pityrophylla (Mart. ex DC.) A.B.Martins,VU
MYRTACEAE,Myrcia vestita DC.,EN
BORAGINACEAE,Cordia silvestris Fresen.,VU
FABACEAE,Chamaecrista atroglandulosa (Taub.) H.S.Irwin & Barneby,EX
MELASTOMATACEAE,Cambessedesia regnelliana Cogn.,VU
MYRTACEAE,Myrcia vittoriana Kiaersk.,EX
BORAGINACEAE,Cordia trichoclada A.DC.,VU
FABACEAE,Chamaecrista trachycarpa (Vogel) H.S.Irwin & Barneby,EX
MELASTOMATACEAE,Cambessedesia weddellii Naudin,VU
MYRTACEAE,Neomitranthes amblymitra (Burret) Mattos,EX
BROMELIACEAE,Aechmea apocalyptica Reitz,EX
FABACEAE,Cratylia intermedia (Hassl.) L.P.Queiroz & R.Monteiro,EX
MELASTOMATACEAE,Chaetostoma glaziovii Cogn.,VU
MYRTACEAE,Neomitranthes capivariensis (Mattos) Mattos,EN
BROMELIACEAE,Aechmea gamossepala Wittm.,EX
FABACEAE,Crotalaria otoptera Benth.,VU
MELASTOMATACEAE,Clidemia sericea D.Don,VU
MYRTACEAE,Neomitranthes gracilis (D.Legrand) D.Legrand,EN
BROMELIACEAE,Aechmea lingulata (L.) Baker,VU
FABACEAE,Dalbergia nigra (Vell.) Allemão ex Benth.,CR
MELASTOMATACEAE,Graffenrieda weddellii Naudin,EN
MYRTACEAE,Neomitranthes pedicellata (Burret) Mattos,EN
BROMELIACEAE,Aechmea recurvata (Klotzsch) L.B.Sm.,VU
FABACEAE,Eriosema glaziovii Harms,VU
MELASTOMATACEAE,Henriettea saldanhaei Cogn.,VU
MYRTACEAE,Plinia complanata M.L.Kawas. & B.Holst,EN
BROMELIACEAE,Aechmea setigera Mart. ex Shult.,EX
FABACEAE,Eriosema platycarpon Micheli,VU
MELASTOMATACEAE,Huberia laurina DC.,EX
MYRTACEAE,Plinia edulis (Vell.) Sobral,VU
BROMELIACEAE,Aechmea wittmackiana (Regel) Mez,VU
FABACEAE,Galactia marginalis Benth.,EX
MELASTOMATACEAE,Huberia nettoana Brade,EX
MYRTACEAE,Plinia hatschbachii (Mattos) Sobral,EN
BROMELIACEAE,Billbergia alfonsi-joannis Reitz,VU
FABACEAE,Indigofera guaranitica Hassl.,VU
MELASTOMATACEAE,Lavoisiera serrulata Cogn.,EX
MYRTACEAE,Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral,VU
BROMELIACEAE,Billbergia meyeri Mez,EX
FABACEAE,Inga mendoncaei Harms,VU
MELASTOMATACEAE,Leandra calvescens (Triana) Cogn.,VU
MYRTACEAE,Psidium giganteum Mattos,EN
BROMELIACEAE,Billbergia nutans H.Wendl. ex Regel,VU
FABACEAE,Inga praegnans T.D.Penn.,VU
MELASTOMATACEAE,Leandra coriacea Cogn.,VU
MYRTACEAE,Psidium salutare (Kunth) O.Berg,EX
BROMELIACEAE,Bromelia interior L.B.Sm.,VU
FABACEAE,Melanoxylon brauna Schott,EW
MELASTOMATACEAE,Leandra dispar (Gardner) Cogn.,VU
MYRTACEAE,Psidium sartorianum Nied.,VU
BROMELIACEAE,Dyckia minarum Mez,VU
FABACEAE,Mimosa myuros Barneby,VU
MELASTOMATACEAE,Leandra eichleri Cogn.,VU
MYRTACEAE,Siphoneugena kuhlmannii Mattos,VU
BROMELIACEAE,Fernseea bocainensis Pereira & Coutinho,CR
FABACEAE,Mimosa paucifolia Benth.,VU
MELASTOMATACEAE,Leandra hermogenesii Baumgratz & D’El Rei Souza,VU
MYRTACEAE,Siphoneugena reitzii D.Legrand,VU
BROMELIACEAE,Fernseea itatiaiae (Wawra) Baker,EN
FABACEAE,Mysanthus uleanus (Harms) G.P.Lewis & A.Delgado Salinas,EN
MELASTOMATACEAE,Leandra involucrata DC.,VU
NYCTAGINACEAE,Guapira nitida (Mart. ex J.A.Schmidt) Lundell,VU
BROMELIACEAE,Hoehenbergia ridleyi (Baker) Mez,VU
FABACEAE,Peltogyne confertiflora (Hayne) Benth.,EN
MELASTOMATACEAE,Leandra itatiaiae (Wawra) Cogn.,VU
NYCTAGINACEAE,Neea verticillata Ruiz & Pav.,EX
BROMELIACEAE,Neoregelia bahiana (Ule) L.B.Sm.,EX
FABACEAE,Rhynchosia reticulata (Sw.) DC.,EX
MELASTOMATACEAE,Leandra lancifolia Cogn.,EN
OLACACEAE,Heisteria perianthomega (Vell.) Sleumer,EX
BROMELIACEAE,Neoregelia binotti (Antoine) L.B.Sm.,EX
FABACEAE,Senna paradictyon (Vogel) H.S.Irwin & Barneby,EX
MELASTOMATACEAE,Leandra lapae D’El Rei Souza & Baumgratz,VU
ORCHIDACEAE,Anathallis gehrtii (Hoehne & Schltr.) F.Barros,VU
BROMELIACEAE,Neoregelia burle-marxii Read.,VU
FABACEAE,Tephrosia sessiliflora Hassl.,VU
MELASTOMATACEAE,Leandra limbata Cogn.,EX
ORCHIDACEAE,Bifrenaria racemosa (Hook.) Lindl.,EX
BROMELIACEAE,Neoregelia compacta (Mez) L.B.Sm.,VU
GELSEMIACEAE,Mostuea muricata Sobral & Lc.Rossi,VU
MELASTOMATACEAE,Leandra linearifolia Cogn.,VU
ORCHIDACEAE,Bifrenaria tyrianthina (Lodd.) Reichb.f.,EW
BROMELIACEAE,Neoregelia doeringiana L.B.Sm.,EX
GENTIANACEAE,Curtia tenuifolia (Aubl.) Knobl.,CR
MELASTOMATACEAE,Leandra longistyla Cogn.,VU
ORCHIDACEAE,Brachionidium restrepioides (Hoehne) Pabst,VU
BROMELIACEAE,Neoregelia maculata L.B.Sm.,EX
GENTIANACEAE,Schultesia aptera Cham.,CR
MELASTOMATACEAE,Leandra mattosii Baumgratz & D’El Rei Souza,EX
ORCHIDACEAE,Cattleya guttata Lindl.,VU
BROMELIACEAE,Neoregelia nivea Leme,VU
GENTIANACEAE,Zygostigma australe (Cham. & Schltdl.) Griseb.,CR
MELASTOMATACEAE,Leandra neglecta Brade,VU
ORCHIDACEAE,Cattleya harrisoniana Batem. ex Lindl.,VU
BROMELIACEAE,Neoregelia pontualii Leme,VU
GESNERIACEAE,Besleria umbrosa Mart.,VU
MELASTOMATACEAE,Leandra pallida Cogn.,VU
ORCHIDACEAE,Cattleya intermedia Grah.,VU
ORCHIDACEAE,Cattleya perrinii Lindl.,VU
PIPERACEAE,Piper edwallii Yuncker,EX
PRIMULACEAE,Myrsine villosissima Mart.,EN
ORCHIDACEAE,Cattleya purpurata (Lindl. & Paxton) Van den Berg,EW
PIPERACEAE,Piper hoehnei Yuncker,EX
PROTEACEAE,Euplassa cantareirae Sleumer,EX
ORCHIDACEAE,Cattleya tigrina A.Rich.,EW
PIPERACEAE,Piper kuhlmannii Yuncker,EX
PROTEACEAE,Panopsis multiflora (Schott) Ducke,EN
ORCHIDACEAE,Cattleya velutina Rchb.f.,VU
PIPERACEAE,Piper lanceolatum Ruiz & Pav.,EN
PROTEACEAE,Panopsis rubescens (Pohl) Rusby,VU
ORCHIDACEAE,Cattleya walkeriana Gardner,VU
PIPERACEAE,Piper loefgrenii Yuncker,EX
PROTEACEAE,Roupala sculpta Sleumer,VU
ORCHIDACEAE,Chytroglossa paulensis Edwall,EX
PIPERACEAE,Piper oblancifolium Yuncker,EX
QUIINACEAE,Quiina magallano-gomesii Schwacke,VU
ORCHIDACEAE,Cirrhaea fuscolutea Lindl.,EN
PIPERACEAE,Piper piritubanum Yuncker,EX
RANUNCULACEAE,Clematis campestris A.St.-Hil.,EW
ORCHIDACEAE,Cirrhaea loddigesii Lindl.,CR
PIPERACEAE,Piper scabrellum Yuncker,EX
RANUNCULACEAE,Ranunculus flagelliformis Sm.,EX
ORCHIDACEAE,Cirrhaea longiracemosa Hoehne,VU
PIPERACEAE,Piper tectoniifolium Kunth,EX
RHAMNACEAE,Colubrina retusa (Pittier) R.S.Cowan,EN
ORCHIDACEAE,Cyrtopodium blanchetii Rchb.f.,VU
PLANTAGINACEAE,Angelonia integerrima Spreng.,EX
RHAMNACEAE,Crumenaria choretroides Mart. ex Reissek,VU
ORCHIDACEAE,Cyrtopodium brandonianum Barb.Rodr.,EX
PLANTAGINACEAE,Bacopa congesta Chodat & Hassl.,EX
RHAMNACEAE,Gouania blanchetiana Miq.,EX
ORCHIDACEAE,Cyrtopodium dusenii Schltr.,VU
PLANTAGINACEAE,Callitriche terrestris Raf.,EX
RHAMNACEAE,Gouania corylifolia Raddi,VU
ORCHIDACEAE,Cyrtopodium fowliei L.Menezes,EN
PLANTAGINACEAE,Stemodia foliosa Benth.,EX
RHAMNACEAE,Gouania inornata Reissek,EN
ORCHIDACEAE,Cyrtopodium hatschbachii Pabst,EN
RHAMNACEAE,Gouania ulmifolia Hook. & Arn.,EX
ORCHIDACEAE,Cyrtopodium lissochiloides Hoehne & Schltr.,EX
RHAMNACEAE,Reissekia smilacina (Sm.) Steud.,EX
ORCHIDACEAE,Cyrtopodium parviflorum Lindl.,EX
RHAMNACEAE,Rhamnidium glabrum Reissek,VU
ORCHIDACEAE,Cyrtopodium triste Rchb.f. & Warm.,VU
RHAMNACEAE,Scutia arenicola (Casar.) Reissek,EN
ORCHIDACEAE,Dichaea mosenii Cogn.,VU
ROSACEAE,Acaena eupatoria Cham. & Schltdl.,VU
ORCHIDACEAE,Dryadella auriculigera (Rchb.f.) Luer,EX
ROSACEAE,Agrimonia parviflora Sol.,EX
ORCHIDACEAE,Dryadella lilliputiana (Cogn.) Luer,VU
RUBIACEAE,Alseis involuta K. Schum.,VU
ORCHIDACEAE,Epidendrum addae Pabst,VU
RUBIACEAE,Borreria pulchristipula (Bremek.) Bacigalupo & E.L.Cabral,VU
ORCHIDACEAE,Epidendrum ecostatum Pabst,VU
RUBIACEAE,Chomelia modesta (Standl.) Steyerm.,EX
ORCHIDACEAE,Epidendrum filicaule Lindl.,VU
RUBIACEAE,Coussarea bocainae M. Gomes,EN
ORCHIDACEAE,Epidendrum geniculatum Barb.Rodr.,VU
RUBIACEAE,Declieuxia cordigera Mart. & Zucc. ex Schult. & 260108 2016PD00530 3.396,45 ORCHIDACEAE Epidendrum henschenii Barb.Rodr.,EN
ORCHIDACEAE,Epidendrum hololeucum Barb.Rodr.,VU
RUBIACEAE,Declieuxia oenanthoides Mart. & Zucc. ex. Schult. & Schult.f.,EN
ORCHIDACEAE,Epidendrum infaustum Reichb.f.,EX
RUBIACEAE,Faramea monantha Müll.Arg.,VU
ORCHIDACEAE,Epidendrum saxatile Lindl.,EX
RUBIACEAE,Faramea paratiensis M.Gomes,EN
ORCHIDACEAE,Eulophia ruwenzoriensis Rendle,EN
RUBIACEAE,Galianthe cymosa (Cham.) E.L.Cabral & Bacigalupo,EX
ORCHIDACEAE,Gomesa ciliata (Lindl.) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galianthe peruviana (Pres.) E.L.Cabral,EX
ORCHIDACEAE,Gomesa concolor (Hook.) M.W.Chase & N.H.Williams,EN
RUBIACEAE,Galianthe pseudopeciolata E.L.Cabral,EX
ORCHIDACEAE,Gomesa cruciata (Rchb.f.) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galianthe souzae E.L.Cabral & Bacigalupo,EN
ORCHIDACEAE,Gomesa cuneata (Scheidw.) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galianthe vaginata E.L.Cabral & Bacigalupo,EN
ORCHIDACEAE,Gomesa jucunda (Rchb.f.) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galium diphyllum (K.Schum.) Dempster,EX
ORCHIDACEAE,Gomesa pectoralis (Lindl.) M.W.Chase & N.H.Williams,CR
RUBIACEAE,Galium equisetoides (Cham. & Schltdl.) Standl.,EX
ORCHIDACEAE,Gomesa praetexta (Rchb.f.) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galium humile Cham. & Schltdl.,EX
ORCHIDACEAE,Gomesa welteri (Pabst) M.W.Chase & N.H.Williams,VU
RUBIACEAE,Galium hypocarpium (L.) Endl. ex Griseb. subsp. 260121 2016PD00803 4.541,26 ORCHIDACEAE Grandiphyllum divaricatum (Lindl.) Docha Neto,VU
ORCHIDACEAE,Grandiphyllum hians (Lindl.) Docha Neto,VU
RUBIACEAE,Galium nigroramosum (Ehrend.) Dempster,EX
ORCHIDACEAE,Grobya fascifera Reichb. f.,EX
RUBIACEAE,Galium noxium (A.St.-Hil.) Dempster subsp. 260121 2016PD00810 6.153,52 ORCHIDACEAE Habenaria achalensis Kraenzl.,VU
ORCHIDACEAE,Habenaria armata Rchb.f.,EX
RUBIACEAE,Galium shepherdii Jung-Mendaçolli,CR
ORCHIDACEAE,Habenaria brachyplectron Hoehne & Schltr.,EX
RUBIACEAE,Guettarda platyphylla Müll.Arg.,EX
ORCHIDACEAE,Habenaria crucifera Rchb.f. & Warm.,EX
RUBIACEAE,Manettia campanulacea Standl.,CR
ORCHIDACEAE,Habenaria ernest-ulei Hoehne,EX
RUBIACEAE,Manettia pauciflora Dusén,VU
ORCHIDACEAE,Habenaria exaltata Barb.Rodr.,EX
RUBIACEAE,Manettia tweedieana K.Schum.,VU
ORCHIDACEAE,Habenaria galeandriformis Hoehne,EX
RUBIACEAE,Melanopsidium nigrum Colla,VU
ORCHIDACEAE,Habenaria hexaptera Lindl.,EX
RUBIACEAE,Palicourea tetraphylla Cham. & Schltdl.,VU
ORCHIDACEAE,Habenaria hydrophila Barb.Rodr.,EX
RUBIACEAE,Psychotria loefgrenii Standl.,EN
ORCHIDACEAE,Habenaria jordanensis (J.E.Leite) Garay,EX
RUBIACEAE,Psychotria microcarpa Müll.Arg.,EX
ORCHIDACEAE,Habenaria leucosantha Barb.Rodr.,EN
RUBIACEAE,Psychotria paludosa Müll.Arg.,EX
ORCHIDACEAE,Habenaria novaesii Edwall ex Hoehne,EX
RUBIACEAE,Psychotria prunifolia (Kunth) Steyerm.,EN
ORCHIDACEAE,Habenaria regnellii Cogn.,EN
RUBIACEAE,Psychotria rhytidocarpa Müll.Arg.,VU
ORCHIDACEAE,Habenaria santensis Barb.Rodr.,EX
RUBIACEAE,Psychotria tenuifolia Sw.,EN
ORCHIDACEAE,Habenaria schwackei Barb.Rodr.,EN
RUBIACEAE,Richardia schumannii W.H.Lewis & R.L.Oliv.,EX
ORCHIDACEAE,Habenaria trifida Kunth,VU
RUBIACEAE,Richardia stellaris (Cham. & Schltdl.) Steud.,EN
ORCHIDACEAE,Habenaria umbraticola Barb.Rodr.,EX
RUBIACEAE,Rudgea corymbulosa Benth.,EN
ORCHIDACEAE,Homalopetalum hypoleptum (Lindl.) Soto-Arenas,EX
RUBIACEAE,Rudgea jasminoides (Cham.) Müll.Arg. subsp. nervosa 260121 2016PD00879 424,07 ORCHIDACEAE Houlletia brocklehurstiana Lindl.,EN
ORCHIDACEAE,Isabelia virginalis Barb.Rodr.,VU
RUBIACEAE,Rudgea pachyphylla Müll.Arg.,EX
ORCHIDACEAE,Koellensteinia tricolor (Lindl.) Reichb.f.,VU
RUBIACEAE,Rudgea parquioides (Cham.) Müll.Arg. subsp. caprifolium 260121 2016PD00884 7.320,11 ORCHIDACEAE Lepanthopsis densiflora (Barb.Rodr.) Ames,EX
ORCHIDACEAE,Lepanthopsis floripecten (Rchb.f.) Ames,VU
RUBIACEAE,Rudgea parquioides (Cham.) Müll.Arg. subsp. hirsutissima Zappi,EN
ORCHIDACEAE,Macradenia multiflora R.Br. Cogn.,VU
RUBIACEAE,Rustia angustifolia K.Schum.,EN
ORCHIDACEAE,Malaxis cogniauxiana (Schltr.) Pabst,EX
RUBIACEAE,Schizocalyx cuspidatus (A.St.-Hil) Kainul. & B.Bremer,VU
ORCHIDACEAE,Malaxis jaraguae (Hoehne & Schltr.) Pabst,VU
RUTACEAE,Esenbeckia pilocarpoides Kunth,EN
ORCHIDACEAE,Mesadenella atroviridis (Barb.Rodr.) Garay,EX
RUTACEAE,Pilocarpus giganteus Engl.,EN
ORCHIDACEAE,Miltonia clowesii Lindl.,EX
SAPINDACEAE,Cupania concolor Radlk.,VU
ORCHIDACEAE,Miltonia kayasimae Pabst,EX
SAPINDACEAE,Cupania furfuracea Radlk.,VU
ORCHIDACEAE,Neogardneria murrayana (Gardner ex Hook.) Schltr.,EN
SAPINDACEAE,Paullinia racemosa Wawra,VU
ORCHIDACEAE,Nohawilliamsia pirarense (Rchb.f.) M.W.Chase & Whitten,EX
SAPINDACEAE,Paullinia uloptera Radlk.,VU
ORCHIDACEAE,Octomeria alexandri Schltr.,EN
SAPINDACEAE,Serjania hatschbachii Ferrucci,EX
ORCHIDACEAE,Octomeria estrellensis Hoehne,EW
SAPINDACEAE,Urvillea glabra Cambess.,VU
ORCHIDACEAE,Octomeria geraensis Barb.Rodr.,EX
SAPOTACEAE,Chrysophyllum imperiale (Linden ex K.Koch & Fintelm.) 260121 2016PD00933 2.622,37 ORCHIDACEAE Octomeria hatschbachii Schltr.,EX
ORCHIDACEAE,Octomeria hoehnei Schltr.,EX
SAPOTACEAE,Pouteria bullata (S.Moore) Baehni,EN
ORCHIDACEAE,Octomeria lichenicola Barb.Rodr.,EN
SAPOTACEAE,Pouteria glomerata (Miq.) Radlk.,VU
ORCHIDACEAE,Octomeria palmyrabellae Barb.Rodr.,VU
SAPOTACEAE,Pouteria oxypetala T.D.Penn.,EN
ORCHIDACEAE,Octomeria wawrae Rchb.f.,EX
SIMAROUBACEAE,Simaba salubris Engl.,EX
ORCHIDACEAE,Octomeria wilsoniana Hoehne,EX
SMILACACEAE,Smilax japicanga Griseb.,VU
ORCHIDACEAE,Pabstia jugosa (Lindl.) Garay,EN
SMILACACEAE,Smilax lappacea Willd.,EX
ORCHIDACEAE,Pabstiella carinifera (Barb.Rodr.) Luer,VU
SMILACACEAE,Smilax lutescens Vell.,EX
ORCHIDACEAE,Phragmipedium vittatum (Vell.) Rolfe,VU
SMILACACEAE,Smilax muscosa Toledo,EX
ORCHIDACEAE,Phymatidium vogelii Pabst,VU
